timestamp,open,high,low,close,volume
1704067200,"42,280.23","44,175.44","42,214.98","44,167.33","18,426,978,443"
1704153600,"44,187.14","45,899.71","44,176.95","44,957.97","39,335,274,536"
1704240000,"44,961.60","45,503.24","40,813.54","42,848.18","46,342,323,118"
1704326400,"42,855.82","44,770.02","42,675.18","44,179.92","30,448,091,210"
1704412800,"44,192.98","44,353.29","42,784.72","44,162.69","32,336,029,347"
1704499200,"44,178.95","44,227.63","43,475.16","43,989.20","16,092,503,468"
1704585600,"43,998.46","44,495.57","43,662.23","43,943.10","19,330,573,863"
1704672000,"43,948.71","47,218.00","43,244.08","46,970.50","42,746,192,015"
1704758400,"46,987.64","47,893.70","45,244.71","46,139.73","39,821,290,992"
1704844800,"46,121.54","47,647.22","44,483.15","46,627.78","50,114,613,298"
1704931200,"46,656.07","48,969.37","45,678.64","46,368.59","45,833,734,549"
1705017600,"46,354.79","46,498.14","41,903.77","42,853.17","43,332,698,900"
1705104000,"42,799.45","43,234.66","42,464.14","42,842.38","20,601,860,469"
1705190400,"42,842.26","43,065.60","41,724.61","41,796.27","17,521,429,522"
1705276800,"41,715.07","43,319.72","41,705.42","42,511.97","22,320,220,558"
1705363200,"42,499.34","43,566.27","42,086.00","43,154.95","24,062,872,740"
1705449600,"43,132.10","43,189.89","42,189.31","42,742.65","20,851,232,595"
1705536000,"42,742.31","42,876.35","40,631.17","41,262.06","25,218,357,242"
1705622400,"41,278.46","42,134.16","40,297.46","41,618.41","25,752,407,154"
1705708800,"41,624.59","41,877.89","41,446.82","41,665.59","11,586,690,904"
1705795200,"41,671.49","41,855.37","41,497.01","41,545.79","9,344,043,642"
1705881600,"41,553.65","41,651.21","39,450.12","39,507.37","31,338,708,143"
1705968000,"39,518.71","40,127.35","38,521.89","39,845.55","29,244,553,045"
1706054400,"39,877.59","40,483.79","39,508.80","40,077.07","22,359,526,178"
1706140800,"40,075.55","40,254.48","39,545.66","39,933.81","18,491,782,013"
1706227200,"39,936.82","42,209.39","39,825.69","41,816.87","25,598,119,893"
1706313600,"41,815.63","42,195.63","41,431.28","42,120.05","11,422,941,934"
1706400000,"42,126.13","42,797.18","41,696.91","42,035.59","16,858,971,687"
1706486400,"42,030.91","43,305.87","41,818.33","43,288.25","20,668,476,578"
1706572800,"43,300.23","43,838.95","42,711.37","42,952.61","23,842,814,518"
1706659200,"42,946.25","43,717.41","42,298.95","42,582.61","24,673,628,793"
1706745600,"42,569.76","43,243.17","41,879.19","43,075.77","21,423,953,779"
1706832000,"43,077.64","43,422.49","42,584.34","43,185.86","18,603,843,039"
1706918400,"43,184.96","43,359.94","42,890.81","42,992.25","11,169,245,236"
1707004800,"42,994.94","43,097.64","42,374.83","42,583.58","14,802,225,490"
1707091200,"42,577.62","43,494.25","42,264.82","42,658.67","18,715,487,317"
1707177600,"42,657.39","43,344.15","42,529.02","43,084.67","16,798,476,726"
1707264000,"43,090.02","44,341.95","42,775.96","44,318.22","21,126,587,775"
1707350400,"44,332.13","45,575.84","44,332.13","45,301.57","26,154,524,080"
